opstina,mesto,ulica,cena,povrsina,cena_po_m2,broj_soba,stanje,sprat,grejanje,uknjizenost,parking_garaza,Lift,Terasa,Lodja,Tavan,Podrum,namesten,godina_izgradnje,X,Y
Vozdovac,Stepa Stepanovic,Kaplara Momcila Gavrica,74500,38,1961,1.5,NA,1,Centralno,Uknjizeno,0,1,0,1,0,0,NA,NA,44.75979,20.48748
Zvezdara,Cvetkova Pijaca,Živka Davidovica,74000,45,1644,1.5,NA,3,Centralno,Uknjizeno,0,1,1,0,0,0,NA,2009,44.78898,20.51366
Vozdovac,Vozdovac,Vojvode Stepe,74000,45,1644,1.5,NA,6,Centralno,Uknjizba u toku,0,2,0,0,0,0,NA,1992,44.78559,20.49139
Novi Beograd,Blok 45,Dr. Ivana Ribara,74000,51,1451,1.5,NA,4,Centralno,Uknjizeno,1,NA,NA,NA,NA,NA,NA,NA,44.80095,20.36885
Novi Beograd,Blok 23,Milutina Milankovica,73500,36,2042,1.5,NA,11,Centralno,Uknjizeno,0,2,0,0,0,0,NA,NA,44.8114,20.41294
Zemun,Karadordev Trg,Karadjordjev trg,73000,34,2147,1.5,NA,16,Centralno,Uknjizeno,0,0,1,0,0,0,Prazno,1970,44.83578,20.41811
Cukarica,Julino Brdo,Marine Velickovic,73000,47,1553,1.5,NA,1,Etazno,Uknjizba u toku,0,1,0,1,0,0,NA,2020,44.76472,20.40868
Zvezdara,Ðeram,Vojvode Savatija,72500,33,2197,1.5,NA,4,Centralno,Uknjizeno,0,1,0,0,0,0,Prazno,NA,44.8021,20.48904
Vozdovac,Lekino Brdo,Pirotska,72500,36,2014,1.5,NA,2,Etazno,NA,0,1,1,0,0,0,NA,NA,44.78871,20.47704
Vozdovac,Lekino Brdo,Lekino Brdo,72150,39,1850,1.5,NA,NA,Podno,NA,0,1,1,0,0,0,NA,2017,44.78632,20.48037
Novi Beograd,Blok 1 - Fontana,Pariske komune,72000,32,2250,1.5,NA,9,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.82852,20.40307
Vozdovac,Lekino Brdo,Tetovska,72000,37,1946,1.5,NA,NA,Centralno,Uknjizeno,0,0,1,0,0,0,Prazno,2012,44.78977,20.48289
Zvezdara,Denkova Basta,Bana Mladena,71400,40,1785,1.5,NA,3,Etazno,Uknjizeno,0,0,1,0,0,0,NA,2012,44.78975,20.50508
Novi Beograd,Blok 72,Mileve Maric Ajnstajn,71000,34,2088,1.5,NA,4,Centralno,Uknjizeno,0,1,0,1,0,0,NA,NA,44.79765,20.36795
Zvezdara,Lion,Ðevdelijska,71000,38,1868,1.5,NA,1,Struja,Uknjizeno,0,0,0,0,0,1,NA,1939,44.79313,20.50491
Zvezdara,Uciteljsko Naselje,Dr Velizara Kosanovica,71000,40,1775,1.5,NA,2,Centralno,Uknjizeno,0,1,1,0,0,0,Prazno,NA,44.78824,20.50579
Novi Beograd,Bezanijska Kosa,Ljubinke Bobic,71000,44,1614,1.5,NA,1,Centralno,Uknjizeno,0,1,0,0,0,1,Prazno,NA,44.81424,20.37611
Vozdovac,Vozdovac,Vojvode Stepe,70900,35,2026,1.5,NA,3,Centralno,Nije uknjizeno,0,2,1,0,0,0,Prazno,NA,44.78559,20.49139
Zemun,Novi Grad,Krajiska,70400,44,1600,1.5,NA,NA,Etazno,Uknjizeno,1,0,1,0,0,0,NA,NA,44.83929,20.37634
Palilula,Hadzipopovac,Nikodima Milasa,70000,36,1944,1.5,NA,2,Centralno,Uknjizeno,0,2,0,0,0,1,Prazno,1965,44.80974,20.48327
Palilula,Hadzipopovac,Nikodima Milasa,70000,36,1944,1.5,NA,2,Centralno,Uknjizeno,0,2,0,0,0,1,Prazno,1965,44.80974,20.48327
Palilula,Profesorska Kolonija,Nikodima Milasa,70000,36,1944,1.5,NA,2,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.80974,20.48327
